RUN	computerdatabase.advanced.AdvancedSimulationStep01	advancedsimulationstep01	1632429172788	 	3.6.1
USER	Scenario Name	START	1632429174612
REQUEST		Home	1632429174640	1632429174679	OK	 
REQUEST		Home Redirect 1	1632429174688	1632429174701	OK	 
REQUEST		Search	1632429175714	1632429175727	OK	 
REQUEST		Select	1632429176731	1632429176757	OK	 
REQUEST		Home	1632429177759	1632429177771	OK	 
REQUEST		Home Redirect 1	1632429177772	1632429177785	OK	 
REQUEST		Page 1	1632429179787	1632429179801	OK	 
REQUEST		Page 2	1632429180473	1632429180487	OK	 
REQUEST		Page 3	1632429181119	1632429181132	OK	 
REQUEST		Page 4	1632429181868	1632429181881	OK	 
REQUEST		Form	1632429186883	1632429186929	OK	 
REQUEST		Post	1632429187948	1632429187965	OK	 
REQUEST		Post Redirect 1	1632429187988	1632429188002	OK	 
USER	Scenario Name	END	1632429188007
